traceZipf0.27-hint-expcost.datPrecision = 8,,,,,,,,,,,
,,CacheSize: 0.2,,CacheSize: 0.4,,CacheSize: 0.6,,CacheSize: 0.8,,CacheSize: 1.0,
,InsertionProb,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss
,0.001,0.185203,0.182825,0.086967,0.086205,0.034539,0.034881,0.008162,0.007884,3.24E-06,1.05E-10
,0.005,0.132597,0.127868,0.061989,0.059956,0.028692,0.02973,0.008152,0.007785,3.24E-06,1.05E-10
,0.01,0.104609,0.098333,0.053335,0.051482,0.025327,0.025669,0.007358,0.007011,3.24E-06,1.05E-10
,0.02,0.0933,0.083686,0.049309,0.045418,0.024173,0.023944,0.007296,0.006881,3.24E-06,1.05E-10
,0.05,0.112064,0.069295,0.04707,0.039994,0.023415,0.02181,0.007137,0.006485,3.24E-06,1.05E-10
,0.1,0.146032,0.057128,0.047686,0.034475,0.022494,0.018946,0.007069,0.005753,3.24E-06,1.05E-10
,0.2,0.209315,0.043609,0.067156,0.025827,0.023172,0.014968,0.00739,0.004905,3.24E-06,1.05E-10
,0.3,0.231223,0.037794,0.08179,0.020755,0.024896,0.011318,0.007183,0.003672,3.24E-06,1.05E-10
,0.4,0.249341,0.035937,0.092237,0.016462,0.027035,0.00898,0.007384,0.002892,3.24E-06,1.05E-10
,0.5,0.257671,0.034972,0.103867,0.012674,0.03931,0.007079,0.0075,0.002353,3.24E-06,1.05E-10
,0.6,0.269019,0.034641,0.117924,0.009364,0.043799,0.005068,0.007585,0.001705,3.24E-06,1.05E-10
,0.7,0.274348,0.033533,0.127602,0.007029,0.044117,0.003772,0.007915,0.001214,3.24E-06,1.05E-10
,0.8,0.281355,0.032875,0.138078,0.005431,0.044201,0.002477,0.008029,8.31E-04,3.24E-06,1.05E-10
,0.9,0.286538,0.033582,0.147452,0.00379,0.043812,0.001304,0.008106,3.21E-04,3.24E-06,1.05E-10
,0.95,0.289452,0.033272,0.15267,0.003047,0.045485,7.92E-04,0.008132,1.53E-04,3.24E-06,1.05E-10
,0.99,0.290016,0.033323,0.153905,0.002463,0.048836,4.75E-04,0.008262,1.92E-05,3.24E-06,1.05E-10
,0.991,0.289971,0.03326,0.154745,0.002445,0.048797,3.93E-04,0.008256,2.11E-05,3.24E-06,1.05E-10
,0.995,0.29197,0.03321,0.155085,0.002416,0.049426,4.58E-04,0.008268,1.99E-05,3.24E-06,1.05E-10
,0.9999,0.291403,0.033187,0.155597,0.002366,0.050489,3.56E-04,0.008275,2.68E-07,3.24E-06,1.05E-10
,1,0.291416,0.033187,0.155565,0.002366,0.050528,3.48E-04,0.008275,2.68E-07,3.24E-06,1.05E-10
,offline,0.2733428195,0.01695743,0.2389983178,0.0022704455,0.1973090973,9.75E-05,0.0094515446,3.06E-07,0,0
