traceZipf0.99-hint.datPrecision = 8,,,,,,,,,,,
,,CacheSize: 0.2,,CacheSize: 0.4,,CacheSize: 0.6,,CacheSize: 0.8,,CacheSize: 1.0,
,InsertionProb,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss,Miss Rate,Cost Miss
,0.001,0.29532,0.633374,0.150701,0.427791,0.071265,0.254002,0.025745,0.103167,0.00E+00,0.00E+00
,0.005,0.175611,0.600211,0.114442,0.41758,0.062406,0.251668,0.025782,0.103415,0.00E+00,0.00E+00
,0.01,0.164917,0.598083,0.108054,0.416555,0.061946,0.251775,0.025861,0.103728,0.00E+00,0.00E+00
,0.02,0.151663,0.593611,0.10214,0.413409,0.061746,0.251797,0.02571,0.103093,0.00E+00,0.00E+00
,0.05,0.143616,0.589172,0.100329,0.412917,0.061633,0.251797,0.025679,0.103042,0.00E+00,0.00E+00
,0.1,0.142361,0.591139,0.099855,0.414215,0.061293,0.251537,0.025738,0.103179,0.00E+00,0.00E+00
,0.2,0.14144,0.590847,0.099937,0.415336,0.06076,0.249483,0.025641,0.102811,0.00E+00,0.00E+00
,0.3,0.141746,0.593298,0.100195,0.416968,0.060557,0.248748,0.025449,0.102153,0.00E+00,0.00E+00
,0.4,0.14133,0.592843,0.100319,0.417855,0.060987,0.250416,0.025848,0.103913,0.00E+00,0.00E+00
,0.5,0.14122,0.591705,0.099813,0.414748,0.061138,0.251653,0.025896,0.104374,0.00E+00,0.00E+00
,0.6,0.141406,0.59078,0.099975,0.415837,0.061478,0.25297,0.026078,0.10499,0.00E+00,0.00E+00
,0.7,0.141949,0.59046,0.099697,0.414454,0.061107,0.251568,0.026208,0.105356,0.00E+00,0.00E+00
,0.8,0.143389,0.591376,0.10024,0.416995,0.061121,0.251244,0.025989,0.104381,0.00E+00,0.00E+00
,0.9,0.145794,0.593223,0.099741,0.415675,0.061008,0.250932,0.026129,0.104999,0.00E+00,0.00E+00
,0.95,0.14676,0.592593,0.099728,0.415282,0.061351,0.252263,0.026116,0.104939,0.00E+00,0.00E+00
,0.99,0.147866,0.5932,0.099865,0.415951,0.061073,0.251132,0.026088,0.104817,0.00E+00,0.00E+00
,0.991,0.147853,0.592975,0.099916,0.416131,0.06099,0.250825,0.026102,0.104896,0.00E+00,0.00E+00
,0.995,0.14799,0.593206,0.099855,0.415939,0.061042,0.251029,0.026123,0.104978,0.00E+00,0.00E+00
,0.9999,0.148117,0.59315,0.099862,0.415921,0.06099,0.250825,0.026109,0.104912,0.00E+00,0.00E+00
,1,0.148117,0.59315,0.099848,0.415862,0.06099,0.250825,0.026109,0.104912,0.00E+00,0.00E+00
,offline,0.1228295643,0.51363355,0.0770721583,0.3196642,0.0410016047,0.16870542,0.0142227323,0.057455808,0,0
